ds,actual_usage
2024-2-22 0:00,17.37582228
2024-2-23 0:00,19.30345731
2024-2-24 0:00,21.20080064
2024-2-25 0:00,23.04514571
2024-2-26 0:00,29.82823409
2024-2-27 0:00,28.63111445
2024-2-28 0:00,30.06953395
2024-2-29 0:00,31.03191138
2024-3-1 0:00,33.80564156
2024-3-2 0:00,34.67150876
2024-3-3 0:00,37.12798387
2024-3-4 0:00,34.98076315
2024-3-5 0:00,36.65896181
2024-3-6 0:00,37.07747415
2024-3-7 0:00,36.99906137
2024-3-8 0:00,38.73109589
2024-3-9 0:00,38.57369188
2024-3-10 0:00,40.0435982
2024-3-11 0:00,36.96336334
2024-3-12 0:00,37.77719424
2024-3-13 0:00,37.41302822
2024-3-14 0:00,36.64438555
2024-3-15 0:00,37.78693647
2024-3-16 0:00,37.14651587
2024-3-17 0:00,38.24296372
2024-3-18 0:00,34.8993012
2024-3-19 0:00,35.55766307
2024-3-20 0:00,35.14150254
2024-3-21 0:00,34.41763202
2024-3-22 0:00,35.69302779
2024-3-23 0:00,35.26312481
2024-3-24 0:00,36.63597211
2024-3-25 0:00,33.62174988
2024-3-26 0:00,34.64905975
2024-3-27 0:00,34.62749492
2024-3-28 0:00,34.31004421
2024-3-29 0:00,35.99024847
2024-3-30 0:00,35.95082706
2024-3-31 0:00,37.68813639
2024-4-1 0:00,35.00195464
2024-4-2 0:00,36.31199774
2024-4-3 0:00,36.52066853
2024-4-4 0:00,35.17687406
2024-4-5 0:00,31.76658422
2024-4-6 0:00,32.06812632
2024-4-7 0:00,36.16632369
2024-4-8 0:00,37.13762305
2024-4-9 0:00,38.31642392
2024-4-10 0:00,38.34269648
2024-4-11 0:00,37.97073478
2024-4-12 0:00,39.4983584
2024-4-13 0:00,39.21530318
2024-4-14 0:00,40.62737664
2024-4-15 0:00,37.54588243
2024-4-16 0:00,38.40373042
2024-4-17 0:00,38.11774697
2024-4-18 0:00,37.45074866
2024-4-19 0:00,38.70830956
2024-4-20 0:00,38.18695182
2024-4-21 0:00,39.39813581
2024-4-22 0:00,36.15755715
2024-4-23 0:00,36.90117069
2024-4-24 0:00,36.54745701
2024-4-25 0:00,35.85949499
2024-4-26 0:00,37.14176948
2024-4-27 0:00,36.68844175
2024-4-28 0:00,34.18273095
2024-4-29 0:00,31.17777323
2024-4-30 0:00,35.82660517
2024-5-1 0:00,33.99225136
2024-5-2 0:00,30.26531642
2024-5-3 0:00,30.30345779
2024-5-4 0:00,32.74751657
2024-5-5 0:00,38.02576146
2024-5-6 0:00,35.14693574
2024-5-7 0:00,36.26835397
2024-5-8 0:00,36.29773957
2024-5-9 0:00,35.98783562
2024-5-10 0:00,37.63352103
2024-5-11 0:00,37.52035579
2024-5-12 0:00,39.14891987
2024-5-13 0:00,36.32444265
2024-5-14 0:00,37.47313233
2024-5-15 0:00,37.50471197
2024-5-16 0:00,37.17471821
2024-5-17 0:00,38.78148507
2024-5-18 0:00,38.61453636
2024-5-19 0:00,40.17875627
2024-5-20 0:00,37.28384105
2024-5-21 0:00,38.36044709
2024-5-22 0:00,38.3225484
2024-5-23 0:00,37.92956515
2024-5-24 0:00,39.48319179
2024-5-25 0:00,39.27565314
2024-5-26 0:00,40.81376268
2024-5-27 0:00,37.90828978
2024-5-28 0:00,38.99005385
2024-5-29 0:00,38.97226053
2024-5-30 0:00,38.61264207
2024-5-31 0:00,40.21033049
2024-6-1 0:00,40.05419028
2024-6-2 0:00,41.64698279
2024-6-3 0:00,38.79486548
